rok	doziti	externi-umrti	plodnost	prirustek
2004	72.5	0.92	1.23	0.911
2005	72.9	0.87	1.28	0.946
2006	73.4	0.82	1.33	1.013
2007	73.7	0.84	1.44	1.095
2008	74.0	0.83	1.50	1.139
2009	74.2	0.81	1.49	1.101
2010	74.4	0.81	1.49	1.096
2011	74.7	0.80	1.43	1.017
2012	75.0	0.79	1.45	1.003
2013	75.2		1.46	0.977
