rok	sebevrazdy	otrava-alkoholem	nasilna-smrt	valecna-smrt
2005	0.070	0.012	0.168	0
2006	0.069	0.025	0.177	0
2007	0.069	0.017	0.143	0
2008	0.073	0.018	0.243	0
2009	0.078	0.017	0.325	0
2010	0.076	0.016	0.425	0
2011	0.085	0.020	0.438	0
2012	0.077	0.017	0.388	0
